Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Texas Health Partners,TX,Business Associate,10345,8/17/2011,Theft,Laptop,Yes
Colorado Department of Health Care Policy and Financing,CO,Health Plan,3589,8/16/2011,Loss,Other,No
The Neurological Institute of Savannah & Center for Spine,GA,Healthcare Provider,63425,8/15/2011,Theft,"Other, Other Portable Electronic Device",No
Accuprint ,PR,Business Associate,5848,8/15/2011,Theft,Other,Yes
Washington State Department of Social and Health Services,WA,Health Plan,3950,8/9/2011,Unauthorized Access/Disclosure,Paper/Films,No
Med Assets,NJ,Business Associate,8795,8/8/2011,Theft,"Other, Other Portable Electronic Device",Yes
"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan",IN,Business Associate,506,8/8/2011,Hacking/IT Incident,Network Server,Yes
Brigham and Women's Hospital and Faulkner Hospital ,MA,Healthcare Provider,638,8/3/2011,Theft,Other Portable Electronic Device,No
Treatment Services Northwest,OR,Healthcare Provider,1200,7/29/2011,Theft,Desktop Computer,No
Mills-Peninsula Health Services,CA,Healthcare Provider,1500,7/29/2011,Unauthorized Access/Disclosure,Paper/Films,No
Health Care Service Corporation,IL,Health Plan,501,7/28/2011,Theft,Paper/Films,No
"Austin Center for Therapy and Assessment, LLC",TX,Healthcare Provider,1870,7/28/2011,Theft,Laptop,No
University of Kentucky - UK HealthCare,KY,Healthcare Provider,3604,7/28/2011,Theft,Laptop,No
"Andersen Air Force Base, Guam",VA,Healthcare Provider,700,7/22/2011,Improper Disposal,Paper/Films,No
Windsor Health Plan,TN,Business Associate,1378,7/22/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
"RxAmerica, a subsidiary of CVS Caremark",TX,Business Associate,4573,7/22/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
"Assurecare Risk Management, Inc.",IL,Business Associate,25330,7/21/2011,Unauthorized Access/Disclosure,Network Server,Yes
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,2021,7/19/2011,Hacking/IT Incident,Network Server,No
Memorial Health Systems,CO,Healthcare Provider,2300,7/15/2011,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Laptop, Network Server",No
"DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",GA,Healthcare Provider,7500,7/15/2011,Theft,Paper/Films,No
Dr Axel Velez,PR,Healthcare Provider,2800,7/13/2011,Theft,Desktop Computer,No
Lansing Community College,MI,Business Associate,5000,7/11/2011,Hacking/IT Incident,Network Server,Yes
Jackson Health System,FL,Healthcare Provider,1562,7/8/2011,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No
Troy Regional Medical Center,AL,Healthcare Provider,880,7/8/2011,Unauthorized Access/Disclosure,Paper/Films,No
The Mount Sinai Hospital,NY,Healthcare Provider,712,7/8/2011,Theft,Laptop,No
Yanez Dental Corporation,CA,Healthcare Provider,10190,7/4/2011,Theft,"Desktop Computer, Network Server",No
Health Plan of San Mateo,CA,Health Plan,694,6/29/2011,Unauthorized Access/Disclosure,Paper/Films,No
Department of Personnel and Administration,CO,Business Associate,3589,6/29/2011,Theft,Other,Yes
"Gail Gillespie and Associates, LLC",LA,Healthcare Provider,2000,6/28/2011,Theft,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device",No
"Area Agency on Aging, Ohio District 5",OH,Business Associate,78042,6/27/2011,Theft,Laptop,Yes
University of Missouri Health Care,MO,Healthcare Provider,1288,6/23/2011,Unknown,Paper/Films,No
"NOL, LLC d/b/a Premier Radiology",TN,Healthcare Provider,810,6/22/2011,Theft,Laptop,No
"Advanced Diagnostic Imaging, P.C.",TN,Healthcare Provider,705,6/22/2011,Theft,Laptop,No
Blue Cross and Blue Shield of Florida ,FL,Health Plan,3463,6/17/2011,Unauthorized Access/Disclosure,Other,No
"Gene S. J. Liaw, MD. PS",WA,Healthcare Provider,1105,6/17/2011,Theft,"Other, Other Portable Electronic Device",No
New River Health Association,WV,Healthcare Provider,950,6/16/2011,Unauthorized Access/Disclosure,Paper/Films,No
HealthCare Partners,CA,Healthcare Provider,15677,6/16/2011,Theft,Desktop Computer,No
Fidelity National Technology Imaging (FNTI),CA,Business Associate,1192,6/10/2011,Loss,Paper/Films,Yes
"Metropolitan Community Health Services, Inc.",NC,Healthcare Provider,1263,6/9/2011,Unknown,Email,No
"FOOTHILLS NEPHROLOGY, PC",SC,Healthcare Provider,1280,6/9/2011,Theft,"Other, Other Portable Electronic Device",No
TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,Healthcare Provider,2000,6/9/2011,"Improper Disposal, Loss",Paper/Films,No
Navos,WA,Health Plan,2700,6/8/2011,Unknown,Paper/Films,No
Lower Umpqua Hospital,OR,Business Associate,17000,6/8/2011,Theft,"Other, Other Portable Electronic Device",Yes
Saint Joseph - Berea,KY,Healthcare Provider,1986,6/2/2011,"Loss, Theft","Other, Other Portable Electronic Device",No
Spartanburg Regional Healthcare System,SC,Healthcare Provider,400000,5/27/2011,Theft,Desktop Computer,No
VA Caribbean Healthcare System,PR,Healthcare Provider,6006,5/26/2011,Theft,Paper/Films,No
Agent Benefits Corporation,MI,Business Associate,11387,5/26/2011,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,Yes
"Cahaba Government Benefit Administrators, LLC",AL,Business Associate,13412,5/25/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
Imaging Center of Garland,TX,Healthcare Provider,1031,5/19/2011,Improper Disposal,Other,No
St. Mary's Hospital for Children,NY,Business Associate,550,5/19/2011,Theft,Paper/Films,Yes
"Robert B. Miller, MD",CA,Healthcare Provider,620,5/17/2011,Theft,Laptop,No
CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,FL,Healthcare Provider,8000,5/11/2011,Theft,"Other, Paper/Films",No
CVS CAREMARK,AZ,Healthcare Provider,654,5/11/2011,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
Union Security Insurance Company,MO,Health Plan,850,5/9/2011,Unauthorized Access/Disclosure,Other,No
"MMM Healthcare, Inc.",PR,Healthcare Provider,32390,5/9/2011,Theft,Desktop Computer,No
PMC Medicare Choice,PR,Health Plan,24361,5/9/2011,Theft,Desktop Computer,No
Indiana Regional Medical Center,PA,Healthcare Provider,1388,5/9/2011,Theft,Paper/Films,No
Drs Edalji and Komer,MA,Healthcare Provider,563,5/6/2011,Theft,Laptop,No
Reid Hospital & Health Care Services,IN,Healthcare Provider,22001,5/6/2011,Theft,Laptop,No
Methodist Charlton Medical Center,TX,Healthcare Provider,1500,5/5/2011,Theft,Laptop,No
Speare Memorial Hospital,NH,Healthcare Provider,5960,5/2/2011,Theft,Laptop,No
Knox Community Hospital,OH,Healthcare Provider,500,4/28/2011,Improper Disposal,Other,No
MacNeal Hospital,IL,Healthcare Provider,845,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
Genesis Clinical Laboratory,IL,Healthcare Provider,1070,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
MacNeal Physician Group,IL,Healthcare Provider,532,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
Phoenix Health Plan,AZ,Health Plan,9393,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
West Lake Hospital ,IL,Healthcare Provider,686,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
"Keith & Fisher, DDS, PA",NC,Healthcare Provider,6000,4/21/2011,Hacking/IT Incident,Network Server,No
Community Action partnership of Natrona County,WY,Healthcare Provider,15000,4/20/2011,Theft,Desktop Computer,No
"Healthcare Solutions Team, LLC",IL,Business Associate,675,4/19/2011,Unauthorized Access/Disclosure,Other,Yes
IBM,NY,Business Associate,1900000,4/14/2011,Unknown,Other,Yes
SW General Inc,AZ,Healthcare Provider,566,4/14/2011,Theft,Paper/Films,No
Fairview Health Services,MN,Healthcare Provider,1215,4/14/2011,Loss,Paper/Films,No
Aiken Community Based Outpatient Clinic,SC,Healthcare Provider,2717,4/12/2011,Improper Disposal,Paper/Films,No
Oklaholma State Dept. of Health,OK,Healthcare Provider,132940,4/11/2011,Theft,"Laptop, Paper/Films",No
Union Security Insurance Company,MO,Health Plan,935,4/8/2011,Unauthorized Access/Disclosure,Other,No
"Patient Care Services at Saint Francis, Inc.",OK,Healthcare Provider,84000,4/6/2011,Theft,Network Server,No
Hartford Hospital,CT,Business Associate,93500,4/5/2011,Theft,Other,Yes
"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.",AZ,Healthcare Provider,10000,4/4/2011,Theft,"Other, Other Portable Electronic Device",No
Trisha Elaine Cordova,AK,Business Associate,1700,3/31/2011,Theft,Laptop,Yes
"Park Avenue Obstetrics & Gynecology, PC",AZ,Healthcare Provider,635,3/31/2011,Theft,"Other, Other Portable Electronic Device",No
Clarksburg - Louis A. Johnson VA Medical Center,WV,Healthcare Provider,1470,3/30/2011,Unauthorized Access/Disclosure,Paper/Films,No
EISENHOWER MEDICAL CENTER,CA,Healthcare Provider,514330,3/30/2011,Theft,Desktop Computer,No
County of Los Angeles,CA,Healthcare Provider,667,3/30/2011,Theft,Laptop,No
NYU School of Medicine Faculty Group Practice,NY,Healthcare Provider,670,3/28/2011,Theft,Desktop Computer,No
"Rape & Brooks Orthodontics, P.C.",AL,Healthcare Provider,20744,3/28/2011,Theft,"Desktop Computer, Network Server, Other, Other Portable Electronic Device",No
Texas Health Arlington Memorial Hospital,TX,Healthcare Provider,654,3/23/2011,Unknown,Electronic Medical Record,No
"Coventry Health Care, Inc.",MD,Business Associate,765,3/18/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
"JEFFREY J. SMITH, MD",OK,Healthcare Provider,600,3/16/2011,Theft,"Desktop Computer, Other, Other Portable Electronic Device",No
"Omnicare, Inc",KY,Healthcare Provider,8845,3/10/2011,Theft,Laptop,No
"University Health Services, University of Massachusetts, Amherst",MA,Healthcare Provider,942,3/7/2011,Unauthorized Access/Disclosure,Desktop Computer,No
Blue Cross and Blue Shield of Florida ,FL,Health Plan,7366,3/3/2011,Unknown,Other,No
TriWest Healthcare Alliance Corp.,AZ,Business Associate,4500,3/1/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
Henry Ford Hospital,MI,Healthcare Provider,2777,2/23/2011,Loss,"Other, Other Portable Electronic Device",No
Departamento de Salud de Puerto Rico,,Healthcare Provider,2621,2/22/2011,Loss,Other Portable Electronic Device,No
Mountain Vista Medical Center,AZ,Healthcare Provider,2291,2/21/2011,Loss,"Other, Other Portable Electronic Device",No
Xforia Web Services,WV,Business Associate,3655,2/16/2011,Unauthorized Access/Disclosure,Network Server,Yes
Business Express,FL,Business Associate,2700,2/15/2011,Theft,"Other, Other Portable Electronic Device",Yes
Texas Health Harris Methodist Hospital Azle,TX,Healthcare Provider,9922,2/13/2011,"Loss, Theft","Other, Other Portable Electronic Device",No
Long Beach Memorial Medical Center,CA,Healthcare Provider,2250,2/11/2011,Unauthorized Access/Disclosure,Other,No
GRM Information Management Services,NJ,Business Associate,1700000,2/11/2011,Theft,"Electronic Medical Record, Other",Yes
Saint Louis University,MO,Healthcare Provider,800,2/10/2011,Hacking/IT Incident,Desktop Computer,No
Cancer Care Northwest P.S.,WA,Healthcare Provider,3100,2/9/2011,Theft,Paper/Films,No
"Ortho Montana, PSC",MT,Healthcare Provider,37000,2/8/2011,Theft,Laptop,No
Jefferson Center for Mental Health,CO,Healthcare Provider,546,2/7/2011,Theft,Paper/Films,No
Integranetics,KY,Business Associate,18871,2/7/2011,Hacking/IT Incident,Network Server,Yes
"CHC MEMPHIS CMHC, LLC",TN,Healthcare Provider,500,1/28/2011,Theft,Desktop Computer,No
Baylor Heart and Vascular Center,TX,Healthcare Provider,8241,1/25/2011,Theft,"Other, Other Portable Electronic Device",No
"Hanger Prosthetics & Orthotics, Inc.",TX,Healthcare Provider,4486,1/24/2011,Theft,Laptop,No
"Grays Harbor Pediatrics, PLLC",WA,Healthcare Provider,12009,1/21/2011,Theft,"Other, Other Portable Electronic Device",No
J. A. Still Corporation,MO,Business Associate,4800,1/18/2011,Theft,Other,Yes
Lake Woods Nursing & Rehabilitation Center,MI,Healthcare Provider,656,1/18/2011,Theft,"Desktop Computer, Laptop",No
Travis Software Corp.,TX,Business Associate,16200,1/18/2011,Loss,"Other, Other Portable Electronic Device",Yes
State of South Carolina Budget and Control Board Employee Insurance Program (EIP),SC,Health Plan,5596,1/14/2011,Theft,Desktop Computer,No
Franciscan Medical Group,WA,Healthcare Clearing House,1250,1/13/2011,Theft,Desktop Computer,No
Centra,VA,Healthcare Provider,11982,1/12/2011,Theft,Laptop,No
St.Vincent Hospital - Indianapolis,IN,Healthcare Provider,1848,1/12/2011,Hacking/IT Incident,"Email, Network Server",No
Friendship Center Dental Office,FL,Healthcare Provider,2200,1/11/2011,Theft,Laptop,No
"Seacoast Radiology, PA",NH,Healthcare Provider,231400,1/10/2011,Hacking/IT Incident,Network Server,No
OhioHealth Corporation dba Grant Medical Center,OH,Healthcare Provider,501,1/4/2011,Theft,"Desktop Computer, Laptop",No
"Ankle + Foot Center of Tampa Bay, Inc.",FL,Healthcare Provider,156000,1/3/2011,Theft,Network Server,No
"Southern Perioperative Services, P.C.",AL,Healthcare Provider,2000,12/30/2010,Theft,"Other, Other Portable Electronic Device",No
Keystone/AmeriHealth Mercy Health Plans,PA,Health Plan,808,12/30/2010,Loss,"Other, Other Portable Electronic Device",No
Our Lady of Peace Hospital,KY,Healthcare Provider,24600,12/29/2010,"Loss, Theft","Other, Other Portable Electronic Device",No
"Zenith Administrators, Inc.",MD,Business Associate,800,12/29/2010,Theft,Paper/Films,Yes
Mankato Clinic,MN,Healthcare Provider,3159,12/28/2010,Theft,Laptop,No
Geisinger Wyoming Valley Medical Center,PA,Healthcare Provider,2928,12/28/2010,Theft,Email,No
Hils Transcription,IN,Business Associate,585,12/27/2010,Unauthorized Access/Disclosure,Other,Yes
The Southwestern Indiana Regional Council on Aging,IN,Business Associate,757,12/27/2010,Theft,Laptop,Yes
California Therapy Solutions,CA,Healthcare Provider,1250,12/22/2010,Theft,"Other, Other Portable Electronic Device",No
Riverside Mercy Hospital and Ohio/Mercy Diagnostics,OH,Healthcare Provider,1000,12/21/2010,Improper Disposal,Paper/Films,No
"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated",WI,Healthcare Provider,3288,12/20/2010,Theft,Laptop,No
Cook County Health & Hospitals System,IL,Healthcare Provider,556,12/17/2010,Theft,Desktop Computer,No
"Gair Medical Transcription Services, Inc.",PA,Business Associate,1085,12/15/2010,Unauthorized Access/Disclosure,Network Server,Yes
"Gary C. Spinks, DMD, PC",MD,Healthcare Provider,1000,12/13/2010,Hacking/IT Incident,"Desktop Computer, Network Server",No
Hospital Auxilio Mutuo,PR,Healthcare Provider,1000,12/13/2010,Theft,"Desktop Computer, Laptop",No
zarzamora family dental care,TX,Healthcare Provider,800,12/7/2010,Theft,Desktop Computer,No
H.E.L.P. Financial Corporation,MI,Business Associate,9475,12/3/2010,Unauthorized Access/Disclosure,Paper/Films,Yes
Albert Einstein Healthcare Network,PA,Healthcare Provider,613,11/30/2010,Theft,Desktop Computer,No
University of Tennessee Medical Center,TN,Healthcare Provider,8200,11/30/2010,Improper Disposal,Paper/Films,No
Kings County Hospital Center,NY,Healthcare Provider,542,11/30/2010,Theft,Desktop Computer,No
Oklahoma City VA Medical Center,OK,Healthcare Provider,1950,11/29/2010,"Improper Disposal, Loss, Theft",Paper/Films,No
Memorial Hospital of Gardena,CA,Healthcare Provider,771,11/25/2010,Unauthorized Access/Disclosure,Paper/Films,No
"Professional Transcription Company, Inc.",NY,Business Associate,1744,11/24/2010,Theft,Network Server,Yes
"Triple-S Salud, Inc.",PR,Health Plan,398000,11/18/2010,Theft,Network Server,No
Holy Cross Hospital,FL,Healthcare Provider,1500,11/16/2010,Theft,Paper/Films,No
"Robert Wheatley, DDS, PC",MO,Healthcare Provider,1400,11/15/2010,Theft,Laptop,No
Henry Ford Hospital,MI,Healthcare Provider,3700,11/15/2010,Theft,Laptop,No
"Manor Care Indy (South), LLC.",IN,Healthcare Provider,845,11/12/2010,Unauthorized Access/Disclosure,Paper/Films,No
Visiting Nurse Service Association of Schenectady County,NY,Healthcare Provider,535,11/12/2010,Theft,Laptop,No
"Prime Home Care, LLC",NE,Healthcare Provider,1550,11/12/2010,Theft,Desktop Computer,No
VNA of Southeastern Ct.,CT,Healthcare Provider,12000,11/11/2010,Theft,Laptop,No
Medical Card System/MCS-HMO/MCS Advantage/MCS Life,PR,Business Associate,115000,11/9/2010,Unauthorized Access/Disclosure,"Other, Other Portable Electronic Device",Yes
Sta-home Health & Hospice,MS,Healthcare Provider,1104,11/8/2010,Theft,Desktop Computer,No
"Aetna, Inc.",CT,Health Plan,2345,11/7/2010,Unauthorized Access/Disclosure,Network Server,No
Puerto Rico Department of Health - Triple S Management Corp.,PR,Health Plan,475000,11/4/2010,Unauthorized Access/Disclosure,Network Server,Yes
Northridge Hospital Medical Center,CA,Healthcare Provider,716,11/2/2010,Loss,Paper/Films,No
"BlueCross BlueShield of Tennessee, Inc.",TN,Health Plan,1023209,11/1/2010,Theft,Other,No
Aspen Dental Care P.C.,CO,Healthcare Provider,2500,10/26/2010,Theft,Other,No
University of Arkansas for Medical Sciences,AR,Healthcare Provider,1000,10/18/2010,Theft,"Other, Other Portable Electronic Device",No
SW Seattle Orthopaedic and Sports Medicine,WA,Healthcare Provider,9493,10/15/2010,Hacking/IT Incident,Network Server,No
Utah Department of Workforce Services,UT,Business Associate,1298,10/13/2010,Other,"Desktop Computer, Paper/Films",Yes
LoneStar Audiology Group,TX,Healthcare Provider,585,10/8/2010,Theft,Laptop,No
Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,MD,Health Plan,692,10/6/2010,Other,Other,No
WESTMED Medical Group,NY,Healthcare Provider,578,10/5/2010,Theft,Laptop,No
"Cumberland Gastroenterology, P.S.C.",KY,Healthcare Provider,2200,10/5/2010,Theft,Paper/Films,No
"Debra C. Duffy, DDS",TX,Healthcare Provider,4700,10/5/2010,Theft,"Laptop, Network Server",No
Joseph A. Gagnon d/b/a Goldthwait Associates,MA,Business Associate,11000,10/1/2010,Improper Disposal,Paper/Films,Yes
"LORENZO BROWN, MD INC.",CA,Healthcare Provider,928,9/29/2010,Theft,Desktop Computer,No
"University of Oklahoma - Tulsa, Neurology Clinic",OK,Healthcare Provider,19200,9/27/2010,Hacking/IT Incident,Desktop Computer,No
NewYork-Presbyterian Hospital and Columbia University Medical Center,NY,Healthcare Provider,6800,9/24/2010,Theft,Network Server,No
